,title,company,location,minimum salary,rating,urgent hiring,link
179,Lead Data Strategist,Indeed,"New York, NY",104000.0,4.3,,https://www.indeed.com/viewjob?jk=e3e355bd6f8eb5e0
180,Python Developer,Pensa Systems,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=68cba931a369960c
181,Data Technician (Full- or Part-Time),Thasos Group,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=da727c0cddda240e
182,IT Internship,NPower,"New York, NY",30000.0,3.5,,https://www.indeed.com/viewjob?jk=fae3bf7adc86ea00
183,Junior Data Analyst,Urner Barry,"Toms River, NJ",40000.0,4.2,0.0,https://www.indeed.com/viewjob?jk=95fdb4f48585dab3
184,Tutor in Python online,MakerState,"New York, NY",36000.0,4.0,0.0,https://www.indeed.com/viewjob?jk=469dc5c2056f68b8
185,"Editorial Production Associate, The New Yorker",Conde Nast,"New York, NY",TBD,4.0,,https://www.indeed.com/viewjob?jk=3ecb7c1d250a060f
186,Python Hacker - Machine Learning,Morgan Stanley,"New York, NY",TBD,3.9,,https://www.indeed.com/viewjob?jk=570b70628645883d
187,Junior Laboratory Associate,New York University,"New York, NY",40000.0,4.2,,https://www.indeed.com/viewjob?jk=f5be0253521b86e9
189,Java / Python Tutors,"SAM Consulting Services, Inc.","New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=6dd414e5bf2653aa
190,Python Developer with Front end development,Peopleforce INC,"New York, NY",90000.0,,,https://www.indeed.com/viewjob?jk=c43b5994cf78e06f
191,Python Developer,Systemonex INC,"New York, NY",70000.0,,,https://www.indeed.com/viewjob?jk=261a6748688d29d6
192,Site Reliability Engineer - Python and Automation - No finance required,Saragossa,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=2278f745eaf94e0d
193,Bioinformatics Programmer,NYU Langone Health,"New York, NY",TBD,4.1,,https://www.indeed.com/viewjob?jk=8434bc915c82e9d2
194,"Quantitative Investment Analytics, Sr. Analyst",Global Atlantic Financial Group,"New York, NY",TBD,3.2,,https://www.indeed.com/viewjob?jk=ae577fac66aa2913
195,Data Science Instructor,MIM,"New York, NY",87000.0,,,https://www.indeed.com/viewjob?jk=7f2fbaa0da9c3228
196,Entry Level Python Developer / Jr. Python Developer,KesarWeb,"New York, NY",65000.0,,,https://www.indeed.com/viewjob?jk=52e375af8715e3d4
197,Data Technician (Full- or Part-Time),Thasos Group,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=da727c0cddda240e
198,IT Internship,NPower,"New York, NY",30000.0,3.5,,https://www.indeed.com/viewjob?jk=fae3bf7adc86ea00
199,Tutor in Python online,MakerState,"New York, NY",36000.0,4.0,0.0,https://www.indeed.com/viewjob?jk=469dc5c2056f68b8
200,"Editorial Production Associate, The New Yorker",Conde Nast,"New York, NY",TBD,4.0,,https://www.indeed.com/viewjob?jk=3ecb7c1d250a060f
201,Python Hacker - Machine Learning,Morgan Stanley,"New York, NY",TBD,3.9,,https://www.indeed.com/viewjob?jk=570b70628645883d
202,Junior Laboratory Associate,New York University,"New York, NY",40000.0,4.2,,https://www.indeed.com/viewjob?jk=f5be0253521b86e9
204,Java / Python Tutors,"SAM Consulting Services, Inc.","New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=6dd414e5bf2653aa
205,Python Developer with Front end development,Peopleforce INC,"New York, NY",90000.0,,,https://www.indeed.com/viewjob?jk=c43b5994cf78e06f
206,Software Engineer Senior Instructor,MIM,"New York, NY",87000.0,,,https://www.indeed.com/viewjob?jk=f1433de8cb7a6bf7
207,Machine Vision Engineer,"Intelligent Artifacts, Inc.","New York, NY",80000.0,,,https://www.indeed.com/viewjob?jk=438f8386a49026e1
208,Python Developer,Systemonex INC,"New York, NY",70000.0,,,https://www.indeed.com/viewjob?jk=261a6748688d29d6
209,Entry Level Python Developer / Jr. Python Developer,KesarWeb,"New York, NY",65000.0,,,https://www.indeed.com/viewjob?jk=52e375af8715e3d4
210,Machine Vision Engineer,"Intelligent Artifacts, Inc.","New York, NY",80000.0,,,https://www.indeed.com/viewjob?jk=438f8386a49026e1
211,Lead Data Strategist,Indeed,"New York, NY",104000.0,4.3,,https://www.indeed.com/viewjob?jk=e3e355bd6f8eb5e0
212,Data Technician (Full- or Part-Time),Thasos Group,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=da727c0cddda240e
213,IT Internship,NPower,"New York, NY",30000.0,3.5,,https://www.indeed.com/viewjob?jk=fae3bf7adc86ea00
214,Tutor in Python online,MakerState,"New York, NY",36000.0,4.0,0.0,https://www.indeed.com/viewjob?jk=469dc5c2056f68b8
215,"Editorial Production Associate, The New Yorker",Conde Nast,"New York, NY",TBD,4.0,,https://www.indeed.com/viewjob?jk=3ecb7c1d250a060f
216,Python Hacker - Machine Learning,Morgan Stanley,"New York, NY",TBD,3.9,,https://www.indeed.com/viewjob?jk=570b70628645883d
217,Junior Laboratory Associate,New York University,"New York, NY",40000.0,4.2,,https://www.indeed.com/viewjob?jk=f5be0253521b86e9
